session_id,dataset_name,query,ground_truth_answer,retrieved_chunk_ids,rrfe_features,raw_metrics,calibrated_metrics,evaluator_reliability,rrt,processing_metadata,timestamp
5a732ab25542991f29ee2d25,hotpotqa,"In what school district is Governor John R. Rogers High School, named after John Rankin Rogers, located?","Governor John R. Rogers High School, named after John Rankin Rogers, is located in the Puyallup School District of Washington, United States.","[""unknown"", ""unknown"", ""unknown""]","{""temporal_freshness"": 1.0, ""source_credibility"": 0.5, ""evidence_consistency"": 1.0, ""evidence_sufficiency"": 0.6165178828968383}","{""ragas_context_precision"": 0.0, ""ragas_faithfulness"": NaN, ""ragas_answer_relevancy"": 0.7380144675996781}","{""ragas_context_precision"": 0.0, ""ragas_answer_relevancy"": 0.7380144675996781}","{""ragas"": 1.0, ""deepeval"": 0.0}",0.4612590422497988,"{""rrfe_time_ms"": 14861.175775527954, ""eval_time_ms"": 14851.53317451477, ""total_time_ms"": 42403.35464477539, ""experiment_config"": {""evaluator_provider"": ""groq"", ""evaluator_model"": ""llama-3.3-70b-versatile""}, ""llm_metrics"": {""latency_ms"": 5673.209428787231, ""prompt_tokens"": 2853, ""completion_tokens"": 354, ""total_cost"": 0.00196293, ""total_requests"": 4, ""unique_requests"": 4, ""http_429_count"": 0, ""retry_count"": 0, ""cache_hit_count"": 4, ""cache_miss_count"": 4, ""cache_lookup_time_ms"": 20.879030227661133, ""rate_limit_wait_time_ms"": 0.0}}",2026-07-17T06:57:04.887846
5abf8e135542990832d3a14f,hotpotqa,whiich Australian racing driver won the 44-lap race for the Red Bull Racing team?,Daniel Ricciardo won the 44-lap race for the Red Bull Racing team.,"[""unknown"", ""unknown"", ""unknown""]","{""temporal_freshness"": 0.9996666666666667, ""source_credibility"": 0.5, ""evidence_consistency"": 1.0, ""evidence_sufficiency"": 0.6197905843130842}","{""ragas_context_precision"": 0.0, ""ragas_faithfulness"": NaN, ""ragas_answer_relevancy"": 0.7361732257684322}","{""ragas_context_precision"": 0.0, ""ragas_answer_relevancy"": 0.7361732257684322}","{""ragas"": 1.0, ""deepeval"": 0.0}",0.4601082661052701,"{""rrfe_time_ms"": 15121.411561965942, ""eval_time_ms"": 28888.054370880127, ""total_time_ms"": 59286.945104599, ""experiment_config"": {""evaluator_provider"": ""groq"", ""evaluator_model"": ""llama-3.3-70b-versatile""}, ""llm_metrics"": {""latency_ms"": 6601.254224777222, ""prompt_tokens"": 3135, ""completion_tokens"": 176, ""total_cost"": 0.00198869, ""total_requests"": 4, ""unique_requests"": 4, ""http_429_count"": 0, ""retry_count"": 0, ""cache_hit_count"": 4, ""cache_miss_count"": 4, ""cache_lookup_time_ms"": 32.82308578491211, ""rate_limit_wait_time_ms"": 37476.15575790405}}",2026-07-17T06:58:04.178133
5a89bbb05542992e4fca83a3,hotpotqa,What star of Parks and Recreation appeared in November?,"Nick Offerman, who played the role of Ron Swanson in ""Parks and Recreation"", appeared in the film November.","[""unknown"", ""unknown"", ""unknown""]","{""temporal_freshness"": 0.9996666666666667, ""source_credibility"": 0.5, ""evidence_consistency"": 1.0, ""evidence_sufficiency"": 0.6482970434274776}","{""ragas_context_precision"": 0.0, ""ragas_faithfulness"": NaN, ""ragas_answer_relevancy"": 0.733233156331328}","{""ragas_context_precision"": 0.0, ""ragas_answer_relevancy"": 0.733233156331328}","{""ragas"": 1.0, ""deepeval"": 0.0}",0.45827072270707997,"{""rrfe_time_ms"": 15188.233852386475, ""eval_time_ms"": 33607.28430747986, ""total_time_ms"": 61663.12551498413, ""experiment_config"": {""evaluator_provider"": ""groq"", ""evaluator_model"": ""llama-3.3-70b-versatile""}, ""llm_metrics"": {""latency_ms"": 12642.826557159424, ""prompt_tokens"": 3371, ""completion_tokens"": 272, ""total_cost"": 0.0022037700000000003, ""total_requests"": 4, ""unique_requests"": 4, ""http_429_count"": 0, ""retry_count"": 0, ""cache_hit_count"": 4, ""cache_miss_count"": 4, ""cache_lookup_time_ms"": 35.016775131225586, ""rate_limit_wait_time_ms"": 42066.346883773804}}",2026-07-17T06:59:05.843944
5ab56f3e5542992aa134a317,hotpotqa,"Which genus of flowering plant is found in an environment further south, Crocosmia or Cimicifuga?",Crocosmia is found in an environment further south.,"[""unknown"", ""unknown"", ""unknown""]","{""temporal_freshness"": 0.9996666666666667, ""source_credibility"": 0.5, ""evidence_consistency"": 1.0, ""evidence_sufficiency"": 0.7017603465155398}","{""ragas_context_precision"": 0.0, ""ragas_faithfulness"": NaN, ""ragas_answer_relevancy"": 0.6629503158596077}","{""ragas_context_precision"": 0.0, ""ragas_answer_relevancy"": 0.6629503158596077}","{""ragas"": 1.0, ""deepeval"": 0.0}",0.41434394741225483,"{""rrfe_time_ms"": 14658.538579940796, ""eval_time_ms"": 23983.944177627563, ""total_time_ms"": 51322.155475616455, ""experiment_config"": {""evaluator_provider"": ""groq"", ""evaluator_model"": ""llama-3.3-70b-versatile""}, ""llm_metrics"": {""latency_ms"": 13246.810913085938, ""prompt_tokens"": 2608, ""completion_tokens"": 203, ""total_cost"": 0.0016990899999999999, ""total_requests"": 4, ""unique_requests"": 4, ""http_429_count"": 0, ""retry_count"": 0, ""cache_hit_count"": 4, ""cache_miss_count"": 4, ""cache_lookup_time_ms"": 34.31558609008789, ""rate_limit_wait_time_ms"": 16845.945119857788}}",2026-07-17T06:59:57.168977
5ac195455542991316484b40,hotpotqa,"In what year did the man who shot the Chris Stockley, of The Dingoes, die?","Dennis Bruce Allen, the man who shot Chris Stockley of The Dingoes, died in 1987.","[""unknown"", ""unknown"", ""unknown""]","{""temporal_freshness"": 1.0, ""source_credibility"": 0.5, ""evidence_consistency"": 1.0, ""evidence_sufficiency"": 0.6336870188011194}","{""ragas_context_precision"": 0.0, ""ragas_faithfulness"": NaN, ""ragas_answer_relevancy"": 0.7021292120076624}","{""ragas_context_precision"": 0.0, ""ragas_answer_relevancy"": 0.7021292120076624}","{""ragas"": 1.0, ""deepeval"": 0.0}",0.438830757504789,"{""rrfe_time_ms"": 14954.823732376099, ""eval_time_ms"": 32578.29475402832, ""total_time_ms"": 62838.21725845337, ""experiment_config"": {""evaluator_provider"": ""groq"", ""evaluator_model"": ""llama-3.3-70b-versatile""}, ""llm_metrics"": {""latency_ms"": 3933.063507080078, ""prompt_tokens"": 2955, ""completion_tokens"": 208, ""total_cost"": 0.00190777, ""total_requests"": 4, ""unique_requests"": 4, ""http_429_count"": 0, ""retry_count"": 0, ""cache_hit_count"": 4, ""cache_miss_count"": 4, ""cache_lookup_time_ms"": 16.097068786621094, ""rate_limit_wait_time_ms"": 27386.425495147705}}",2026-07-17T07:01:00.009287
5a80a587554299485f598676,hotpotqa,Are both American bands The Four Seasons and Local H popular around the Beatles were around?,"Yes, both American bands The Four Seasons and Local H were popular at the same time as the Beatles. The Four Seasons were noted as the most popular rock band before the Beatles, and Local H was formed in the late 1980s, so their popularity would have overlapped with the Beatles' era.","[""unknown"", ""unknown"", ""unknown""]","{""temporal_freshness"": 0.9996666666666667, ""source_credibility"": 0.5, ""evidence_consistency"": 1.0, ""evidence_sufficiency"": 0.5801427452648558}","{""ragas_context_precision"": 0.0, ""ragas_faithfulness"": NaN, ""ragas_answer_relevancy"": 0.6530817970046069}","{""ragas_context_precision"": 0.0, ""ragas_answer_relevancy"": 0.6530817970046069}","{""ragas"": 1.0, ""deepeval"": 0.0}",0.40817612312787926,"{""rrfe_time_ms"": 14917.584419250488, ""eval_time_ms"": 15583.67395401001, ""total_time_ms"": 43287.76025772095, ""experiment_config"": {""evaluator_provider"": ""groq"", ""evaluator_model"": ""llama-3.3-70b-versatile""}, ""llm_metrics"": {""latency_ms"": 4396.660804748535, ""prompt_tokens"": 3169, ""completion_tokens"": 494, ""total_cost"": 0.00225997, ""total_requests"": 4, ""unique_requests"": 4, ""http_429_count"": 0, ""retry_count"": 0, ""cache_hit_count"": 4, ""cache_miss_count"": 4, ""cache_lookup_time_ms"": 38.588523864746094, ""rate_limit_wait_time_ms"": 5467.241287231445}}",2026-07-17T07:01:43.300266
5ab3d2b7554299233954ffb8,hotpotqa,The king deposed in the Glorious Revolution of 1688 was supported by the grandson of what Viscount Barnewall?,The king deposed in the Glorious Revolution of 1688 was supported by the grandson of the third Viscount Barnewall.,"[""unknown"", ""unknown"", ""unknown""]","{""temporal_freshness"": 0.9996666666666667, ""source_credibility"": 0.5, ""evidence_consistency"": 1.0, ""evidence_sufficiency"": 0.6548670790048936}","{""ragas_context_precision"": 0.0, ""ragas_faithfulness"": NaN, ""ragas_answer_relevancy"": 0.77064628547281}","{""ragas_context_precision"": 0.0, ""ragas_answer_relevancy"": 0.77064628547281}","{""ragas"": 1.0, ""deepeval"": 0.0}",0.48165392842050625,"{""rrfe_time_ms"": 14843.977689743042, ""eval_time_ms"": 17930.43828010559, ""total_time_ms"": 47814.215660095215, ""experiment_config"": {""evaluator_provider"": ""groq"", ""evaluator_model"": ""llama-3.3-70b-versatile""}, ""llm_metrics"": {""latency_ms"": 4042.2282218933105, ""prompt_tokens"": 2856, ""completion_tokens"": 302, ""total_cost"": 0.00192362, ""total_requests"": 4, ""unique_requests"": 4, ""http_429_count"": 0, ""retry_count"": 0, ""cache_hit_count"": 4, ""cache_miss_count"": 4, ""cache_lookup_time_ms"": 34.81125831604004, ""rate_limit_wait_time_ms"": 29260.941743850708}}",2026-07-17T07:02:31.118944
5ae7313c5542991e8301cbbc,hotpotqa, No. 3 Elementary Flying Training School RAAF operated at an Airport during World War 2 that is closest to Which city center in Australia?,"No. 3 Elementary Flying Training School RAAF operated at Essendon Airport, which is the closest to Melbourne's City Centre in Australia.","[""unknown"", ""unknown"", ""unknown""]","{""temporal_freshness"": 0.9996666666666667, ""source_credibility"": 0.5, ""evidence_consistency"": 1.0, ""evidence_sufficiency"": 0.4727200835469787}","{""ragas_context_precision"": 0.0, ""ragas_faithfulness"": NaN, ""ragas_answer_relevancy"": 0.5448113574934076}","{""ragas_context_precision"": 0.0, ""ragas_answer_relevancy"": 0.5448113574934076}","{""ragas"": 1.0, ""deepeval"": 0.0}",0.34050709843337973,"{""rrfe_time_ms"": 15131.282567977905, ""eval_time_ms"": 38616.952419281006, ""total_time_ms"": 66793.20406913757, ""experiment_config"": {""evaluator_provider"": ""groq"", ""evaluator_model"": ""llama-3.3-70b-versatile""}, ""llm_metrics"": {""latency_ms"": 3215.5940532684326, ""prompt_tokens"": 3352, ""completion_tokens"": 398, ""total_cost"": 0.0022921, ""total_requests"": 4, ""unique_requests"": 4, ""http_429_count"": 0, ""retry_count"": 0, ""cache_hit_count"": 4, ""cache_miss_count"": 4, ""cache_lookup_time_ms"": 37.5523567199707, ""rate_limit_wait_time_ms"": 57136.45553588867}}",2026-07-17T07:03:37.914943
5a761e855542994ccc9186e0,hotpotqa,Where are Catcha Lake and Hedley Mascot Mine located?,"Catcha Lake is located in the central part of Nova Scotia's Halifax Regional Municipality in Canada. The Hedley Mascot Mine is located in Hedley, British Columbia, Canada.","[""unknown"", ""unknown"", ""unknown""]","{""temporal_freshness"": 0.9996666666666667, ""source_credibility"": 0.5, ""evidence_consistency"": 0.788125457885406, ""evidence_sufficiency"": 0.5873211385463768}","{""ragas_context_precision"": 0.0, ""ragas_faithfulness"": NaN, ""ragas_answer_relevancy"": 0.7622182942974743}","{""ragas_context_precision"": 0.0, ""ragas_answer_relevancy"": 0.7622182942974743}","{""ragas"": 1.0, ""deepeval"": 0.0}",0.47638643393592145,"{""rrfe_time_ms"": 14781.994819641113, ""eval_time_ms"": 25115.77343940735, ""total_time_ms"": 52815.6578540802, ""experiment_config"": {""evaluator_provider"": ""groq"", ""evaluator_model"": ""llama-3.3-70b-versatile""}, ""llm_metrics"": {""latency_ms"": 4510.4241371154785, ""prompt_tokens"": 3742, ""completion_tokens"": 420, ""total_cost"": 0.00253958, ""total_requests"": 5, ""unique_requests"": 5, ""http_429_count"": 0, ""retry_count"": 0, ""cache_hit_count"": 3, ""cache_miss_count"": 5, ""cache_lookup_time_ms"": 29.246807098388672, ""rate_limit_wait_time_ms"": 22200.01721382141}}",2026-07-17T07:04:30.732697
5ab1ec725542993be8fa9883,hotpotqa,"Who has lived longer in the USA, Ulli Lommel or Benjamin Stoloff?","Ulli Lommel has lived longer in the USA than Benjamin Stoloff. Benjamin Stoloff died in 1960, while Ulli Lommel has lived and worked in the USA since 1977.","[""unknown"", ""unknown"", ""unknown""]","{""temporal_freshness"": 1.0, ""source_credibility"": 0.5, ""evidence_consistency"": 1.0, ""evidence_sufficiency"": 0.5649846986381826}","{""ragas_context_precision"": 0.0, ""ragas_faithfulness"": NaN, ""ragas_answer_relevancy"": 0.8555307261986588}","{""ragas_context_precision"": 0.0, ""ragas_answer_relevancy"": 0.8555307261986588}","{""ragas"": 1.0, ""deepeval"": 0.0}",0.5347067038741617,"{""rrfe_time_ms"": 14847.403764724731, ""eval_time_ms"": 31688.276290893555, ""total_time_ms"": 59232.983350753784, ""experiment_config"": {""evaluator_provider"": ""groq"", ""evaluator_model"": ""llama-3.3-70b-versatile""}, ""llm_metrics"": {""latency_ms"": 3616.065263748169, ""prompt_tokens"": 2920, ""completion_tokens"": 325, ""total_cost"": 0.00197955, ""total_requests"": 4, ""unique_requests"": 4, ""http_429_count"": 0, ""retry_count"": 0, ""cache_hit_count"": 4, ""cache_miss_count"": 4, ""cache_lookup_time_ms"": 41.422367095947266, ""rate_limit_wait_time_ms"": 52465.740442276}}",2026-07-17T07:05:29.968308
